"country","date","cases"
"Austria",2020-01-01,0
"Austria",2020-01-02,0
"Austria",2020-01-03,0
"Austria",2020-01-04,0
"Austria",2020-01-05,0
"Austria",2020-01-06,0
"Austria",2020-01-07,0
"Austria",2020-01-08,0
"Austria",2020-01-09,0
"Austria",2020-01-10,0
"Austria",2020-01-11,0
"Austria",2020-01-12,0
"Austria",2020-01-13,0
"Austria",2020-01-14,0
"Austria",2020-01-15,0
"Austria",2020-01-16,0
"Austria",2020-01-17,0
"Austria",2020-01-18,0
"Austria",2020-01-19,0
"Austria",2020-01-20,0
"Austria",2020-01-21,0
"Austria",2020-01-22,0
"Austria",2020-01-23,0
"Austria",2020-01-24,0
"Austria",2020-01-25,0
"Austria",2020-01-26,0
"Austria",2020-01-27,0
"Austria",2020-01-28,0
"Austria",2020-01-29,0
"Austria",2020-01-30,0
"Austria",2020-01-31,0
"Austria",2020-02-01,0
"Austria",2020-02-02,0
"Austria",2020-02-03,0
"Austria",2020-02-04,0
"Austria",2020-02-05,0
"Austria",2020-02-06,0
"Austria",2020-02-07,0
"Austria",2020-02-08,0
"Austria",2020-02-09,0
"Austria",2020-02-10,0
"Austria",2020-02-11,0
"Austria",2020-02-12,0
"Austria",2020-02-13,0
"Austria",2020-02-14,0
"Austria",2020-02-15,0
"Austria",2020-02-16,0
"Austria",2020-02-17,0
"Austria",2020-02-18,0
"Austria",2020-02-19,0
"Austria",2020-02-20,0
"Austria",2020-02-21,0
"Austria",2020-02-22,0
"Austria",2020-02-23,0
"Austria",2020-02-24,1
"Austria",2020-02-25,0
"Austria",2020-02-26,1
"Austria",2020-02-27,2
"Austria",2020-02-28,4
"Austria",2020-02-29,1
"Austria",2020-03-01,4
"Austria",2020-03-02,5
"Austria",2020-03-03,6
"Austria",2020-03-04,14
"Austria",2020-03-05,9
"Austria",2020-03-06,29
"Austria",2020-03-07,23
"Austria",2020-03-08,28
"Austria",2020-03-09,22
"Austria",2020-03-10,55
"Austria",2020-03-11,109
"Austria",2020-03-12,97
"Austria",2020-03-13,182
"Austria",2020-03-14,210
"Austria",2020-03-15,198
"Austria",2020-03-16,226
"Austria",2020-03-17,346
"Austria",2020-03-18,372
"Austria",2020-03-19,455
"Austria",2020-03-20,509
"Austria",2020-03-21,548
"Austria",2020-03-22,618
"Austria",2020-03-23,687
"Austria",2020-03-24,723
"Austria",2020-03-25,754
"Austria",2020-03-26,1056
"Austria",2020-03-27,807
"Austria",2020-03-28,617
"Austria",2020-03-29,547
"Austria",2020-03-30,673
"Austria",2020-03-31,550
"Austria",2020-04-01,548
"Austria",2020-04-02,438
"Austria",2020-04-03,411
"Austria",2020-04-04,253
"Austria",2020-04-05,183
"Austria",2020-04-06,306
"Austria",2020-04-07,289
"Austria",2020-04-08,290
"Austria",2020-04-09,276
"Austria",2020-04-10,357
"Austria",2020-04-11,203
"Austria",2020-04-12,111
"Austria",2020-04-13,87
"Austria",2020-04-14,150
"Austria",2020-04-15,129
"Austria",2020-04-16,112
"Austria",2020-04-17,99
"Austria",2020-04-18,60
"Austria",2020-04-19,47
"Austria",2020-04-20,68
"Austria",2020-04-21,70
"Austria",2020-04-22,73
"Austria",2020-04-23,60
"Austria",2020-04-24,79
"Austria",2020-04-25,62
"Austria",2020-04-26,35
"Austria",2020-04-27,70
"Austria",2020-04-28,49
"Austria",2020-04-29,61
"Austria",2020-04-30,54
"Austria",2020-05-01,37
"Austria",2020-05-02,28
"Austria",2020-05-03,12
"Austria",2020-05-04,30
"Austria",2020-05-05,54
"Austria",2020-05-06,46
"Austria",2020-05-07,40
"Austria",2020-05-08,49
"Austria",2020-05-09,30
"Austria",2020-05-10,15
"Austria",2020-05-11,65
"Austria",2020-05-12,38
"Austria",2020-05-13,52
"Austria",2020-05-14,54
"Austria",2020-05-15,81
"Austria",2020-05-16,15
"Austria",2020-05-17,26
"Austria",2020-05-18,58
"Austria",2020-05-19,61
"Austria",2020-05-20,30
"Austria",2020-05-21,31
"Austria",2020-05-22,28
"Austria",2020-05-23,24
"Austria",2020-05-24,31
"Austria",2020-05-25,25
"Austria",2020-05-26,22
"Austria",2020-05-27,50
"Austria",2020-05-28,19
"Austria",2020-05-29,42
"Austria",2020-05-30,32
"Austria",2020-05-31,5
"Austria",2020-06-01,19
"Austria",2020-06-02,16
"Austria",2020-06-03,53
"Austria",2020-06-04,17
"Austria",2020-06-05,67
"Austria",2020-06-06,31
"Austria",2020-06-07,25
"Austria",2020-06-08,24
"Austria",2020-06-09,15
"Austria",2020-06-10,34
"Austria",2020-06-11,22
"Austria",2020-06-12,37
"Austria",2020-06-13,22
"Austria",2020-06-14,18
"Austria",2020-06-15,53
"Austria",2020-06-16,19
"Austria",2020-06-17,31
"Austria",2020-06-18,32
"Austria",2020-06-19,52
"Austria",2020-06-20,32
"Austria",2020-06-21,29
"Austria",2020-06-22,31
"Austria",2020-06-23,43
"Austria",2020-06-24,35
"Austria",2020-06-25,44
"Austria",2020-06-26,74
"Austria",2020-06-27,45
"Austria",2020-06-28,62
"Austria",2020-06-29,49
"Austria",2020-06-30,101
"Austria",2020-07-01,95
"Austria",2020-07-02,80
"Austria",2020-07-03,134
"Austria",2020-07-04,106
"Austria",2020-07-05,76
"Austria",2020-07-06,68
"Austria",2020-07-07,91
"Austria",2020-07-08,118
"Austria",2020-07-09,72
"Austria",2020-07-10,105
"Austria",2020-07-11,90
"Austria",2020-07-12,52
"Austria",2020-07-13,99
"Austria",2020-07-14,123
"Austria",2020-07-15,129
"Austria",2020-07-16,141
"Austria",2020-07-17,124
"Austria",2020-07-18,81
"Austria",2020-07-19,87
"Austria",2020-07-20,90
"Austria",2020-07-21,137
"Austria",2020-07-22,162
"Austria",2020-07-23,117
"Austria",2020-07-24,153
