"state","country","date","cases"
"","France",2020-01-24,3
"","France",2020-01-25,3
"","France",2020-01-26,3
"","France",2020-01-27,3
"","France",2020-01-28,4
"","France",2020-01-29,5
"","France",2020-01-30,6
"","France",2020-01-31,6
"","France",2020-02-01,6
"","France",2020-02-02,6
"","France",2020-02-03,6
"","France",2020-02-04,6
"","France",2020-02-05,6
"","France",2020-02-06,6
"","France",2020-02-07,11
"","France",2020-02-08,11
"","France",2020-02-09,11
"","France",2020-02-10,11
"","France",2020-02-11,11
"","France",2020-02-12,11
"","France",2020-02-13,11
"","France",2020-02-14,11
"","France",2020-02-15,12
"","France",2020-02-16,12
"","France",2020-02-17,12
"","France",2020-02-18,12
"","France",2020-02-19,12
"","France",2020-02-20,12
"","France",2020-02-21,12
"","France",2020-02-22,12
"","France",2020-02-23,12
"","France",2020-02-24,12
"","France",2020-02-25,14
"","France",2020-02-26,18
"","France",2020-02-27,38
"","France",2020-02-28,57
"","France",2020-02-29,100
"","France",2020-03-01,130
"","France",2020-03-02,191
"","France",2020-03-03,212
"","France",2020-03-04,285
"","France",2020-03-05,423
"","France",2020-03-06,613
"","France",2020-03-07,949
"","France",2020-03-08,1126
"","France",2020-03-09,1412
"","France",2020-03-10,1784
"","France",2020-03-11,2281
"","France",2020-03-12,2876
"","France",2020-03-13,3661
"","France",2020-03-14,4500
"","France",2020-03-15,5423
"","France",2020-03-16,6633
"","France",2020-03-17,7730
"","France",2020-03-18,9134
"","France",2020-03-19,10995
"","France",2020-03-20,12612
"","France",2020-03-21,14459
"","France",2020-03-22,16689
"","France",2020-03-23,19856
"","France",2020-03-24,22302
"","France",2020-03-25,25233
"","France",2020-03-26,29155
"","France",2020-03-27,32964
"","France",2020-03-28,37575
"","France",2020-03-29,40174
"","France",2020-03-30,44550
"","France",2020-03-31,52128
"","France",2020-04-01,56989
"","France",2020-04-02,59105
"","France",2020-04-03,64338
"","France",2020-04-04,68605
"","France",2020-04-05,70478
"","France",2020-04-06,74390
"","France",2020-04-07,78167
"","France",2020-04-08,82048
"","France",2020-04-09,86334
"","France",2020-04-10,90676
"","France",2020-04-11,93790
"","France",2020-04-12,95403
"","France",2020-04-13,98076
"","France",2020-04-14,103573
"","France",2020-04-15,106206
"","France",2020-04-16,108847
"","France",2020-04-17,109252
"","France",2020-04-18,111821
"","France",2020-04-19,112606
"","France",2020-04-20,114657
"","France",2020-04-21,117324
"","France",2020-04-22,119151
"","France",2020-04-23,120804
