"country","date","cases"
"Australia",2020-01-01,0
"Australia",2020-01-02,0
"Australia",2020-01-03,0
"Australia",2020-01-04,0
"Australia",2020-01-05,0
"Australia",2020-01-06,0
"Australia",2020-01-07,0
"Australia",2020-01-08,0
"Australia",2020-01-09,0
"Australia",2020-01-10,0
"Australia",2020-01-11,0
"Australia",2020-01-12,0
"Australia",2020-01-13,0
"Australia",2020-01-14,0
"Australia",2020-01-15,0
"Australia",2020-01-16,0
"Australia",2020-01-17,0
"Australia",2020-01-18,0
"Australia",2020-01-19,0
"Australia",2020-01-20,0
"Australia",2020-01-21,0
"Australia",2020-01-22,0
"Australia",2020-01-23,1
"Australia",2020-01-24,3
"Australia",2020-01-25,0
"Australia",2020-01-26,0
"Australia",2020-01-27,1
"Australia",2020-01-28,0
"Australia",2020-01-29,4
"Australia",2020-01-30,0
"Australia",2020-01-31,0
"Australia",2020-02-01,1
"Australia",2020-02-02,2
"Australia",2020-02-03,0
"Australia",2020-02-04,1
"Australia",2020-02-05,1
"Australia",2020-02-06,1
"Australia",2020-02-07,0
"Australia",2020-02-08,0
"Australia",2020-02-09,0
"Australia",2020-02-10,0
"Australia",2020-02-11,0
"Australia",2020-02-12,0
"Australia",2020-02-13,0
"Australia",2020-02-14,0
"Australia",2020-02-15,0
"Australia",2020-02-16,0
"Australia",2020-02-17,0
"Australia",2020-02-18,0
"Australia",2020-02-19,0
"Australia",2020-02-20,0
"Australia",2020-02-21,4
"Australia",2020-02-22,1
"Australia",2020-02-23,0
"Australia",2020-02-24,0
"Australia",2020-02-25,0
"Australia",2020-02-26,0
"Australia",2020-02-27,3
"Australia",2020-02-28,2
"Australia",2020-02-29,0
"Australia",2020-03-01,3
"Australia",2020-03-02,4
"Australia",2020-03-03,8
"Australia",2020-03-04,11
"Australia",2020-03-05,8
"Australia",2020-03-06,4
"Australia",2020-03-07,10
"Australia",2020-03-08,7
"Australia",2020-03-09,12
"Australia",2020-03-10,20
"Australia",2020-03-11,15
"Australia",2020-03-12,30
"Australia",2020-03-13,41
"Australia",2020-03-14,51
"Australia",2020-03-15,48
"Australia",2020-03-16,79
"Australia",2020-03-17,78
"Australia",2020-03-18,113
"Australia",2020-03-19,142
"Australia",2020-03-20,138
"Australia",2020-03-21,225
"Australia",2020-03-22,280
"Australia",2020-03-23,328
"Australia",2020-03-24,370
"Australia",2020-03-25,380
"Australia",2020-03-26,379
"Australia",2020-03-27,372
"Australia",2020-03-28,459
"Australia",2020-03-29,345
"Australia",2020-03-30,270
"Australia",2020-03-31,313
"Australia",2020-04-01,306
"Australia",2020-04-02,276
"Australia",2020-04-03,227
"Australia",2020-04-04,190
"Australia",2020-04-05,143
"Australia",2020-04-06,106
"Australia",2020-04-07,119
"Australia",2020-04-08,105
"Australia",2020-04-09,85
"Australia",2020-04-10,107
"Australia",2020-04-11,97
"Australia",2020-04-12,25
"Austria",2020-01-01,0
"Austria",2020-01-02,0
"Austria",2020-01-03,0
"Austria",2020-01-04,0
"Austria",2020-01-05,0
"Austria",2020-01-06,0
"Austria",2020-01-07,0
"Austria",2020-01-08,0
"Austria",2020-01-09,0
"Austria",2020-01-10,0
"Austria",2020-01-11,0
"Austria",2020-01-12,0
"Austria",2020-01-13,0
"Austria",2020-01-14,0
"Austria",2020-01-15,0
"Austria",2020-01-16,0
"Austria",2020-01-17,0
"Austria",2020-01-18,0
"Austria",2020-01-19,0
"Austria",2020-01-20,0
"Austria",2020-01-21,0
"Austria",2020-01-22,0
"Austria",2020-01-23,0
"Austria",2020-01-24,0
"Austria",2020-01-25,0
"Austria",2020-01-26,0
"Austria",2020-01-27,0
"Austria",2020-01-28,0
"Austria",2020-01-29,0
"Austria",2020-01-30,0
"Austria",2020-01-31,0
"Austria",2020-02-01,0
"Austria",2020-02-02,0
"Austria",2020-02-03,0
"Austria",2020-02-04,0
"Austria",2020-02-05,0
"Austria",2020-02-06,0
"Austria",2020-02-07,0
"Austria",2020-02-08,0
"Austria",2020-02-09,0
"Austria",2020-02-10,0
"Austria",2020-02-11,0
"Austria",2020-02-12,0
"Austria",2020-02-13,0
"Austria",2020-02-14,0
"Austria",2020-02-15,0
"Austria",2020-02-16,0
"Austria",2020-02-17,0
"Austria",2020-02-18,0
"Austria",2020-02-19,0
"Austria",2020-02-20,0
"Austria",2020-02-21,0
"Austria",2020-02-22,0
"Austria",2020-02-23,0
"Austria",2020-02-24,1
"Austria",2020-02-25,0
"Austria",2020-02-26,1
"Austria",2020-02-27,2
"Austria",2020-02-28,4
"Austria",2020-02-29,1
"Austria",2020-03-01,4
"Austria",2020-03-02,5
"Austria",2020-03-03,6
"Austria",2020-03-04,14
"Austria",2020-03-05,9
"Austria",2020-03-06,29
"Austria",2020-03-07,23
"Austria",2020-03-08,28
"Austria",2020-03-09,22
"Austria",2020-03-10,55
"Austria",2020-03-11,109
"Austria",2020-03-12,97
"Austria",2020-03-13,182
"Austria",2020-03-14,210
"Austria",2020-03-15,198
"Austria",2020-03-16,226
"Austria",2020-03-17,346
"Austria",2020-03-18,372
"Austria",2020-03-19,455
"Austria",2020-03-20,509
"Austria",2020-03-21,548
"Austria",2020-03-22,618
"Austria",2020-03-23,687
"Austria",2020-03-24,723
"Austria",2020-03-25,754
"Austria",2020-03-26,1056
"Austria",2020-03-27,807
"Austria",2020-03-28,617
"Austria",2020-03-29,547
"Austria",2020-03-30,673
"Austria",2020-03-31,550
"Austria",2020-04-01,548
"Austria",2020-04-02,438
"Austria",2020-04-03,411
"Austria",2020-04-04,253
"Austria",2020-04-05,183
"Austria",2020-04-06,306
"Austria",2020-04-07,289
"Austria",2020-04-08,290
"Austria",2020-04-09,276
"Austria",2020-04-10,357
"Austria",2020-04-11,203
"Austria",2020-04-12,111
"Belgium",2020-01-01,0
"Belgium",2020-01-02,0
"Belgium",2020-01-03,0
